,userid,payorder,general_isgroup,paid,state,买手入驻申请,入驻,分享有奖,拼团详情,火球买手
267,5ad046b32dbd85702a986bb3,1,,,,,,,,
268,5ad0af6bb31aaa7021c71f1f,0,,,,,,,,
269,5ad0ab24b54aae483e5b79c7,0,,,,,,,,
270,5ad032f92862a62f345d160c,0,,,,,,,,
271,5ad0370a2d0c2a2e3fcb58ec,0,,,,,,,,
272,5ad0668358f66b2e34898180,0,,,,0.0,0.0,1.0,0.0,0.0
273,5acede4e0761fb5d5b89f59f,0,,,,,,,,
274,5ad0af1164fc0b48486086d2,0,,,,,,,,
275,5ad06fdc699cc62e460dfc9e,0,,,,,,,,
276,5ad004b4b96dcb3959f3316c,0,,,,,,,,
277,5ad0b48e699cc62e461cdc52,0,,,,,,,,
278,5ad01bead0d3372f534e5e98,0,,,,,,,,
279,5ad0289c0a6fa92f887f7535,0,,,,,,,,
280,5ad0621ad0d3372f535de5b2,0,,,,,,,,
281,5acf95395f081c394d9dd90e,0,,,,,,,,
282,5ad0220ff4edea6f0447de07,0,,,,,,,,
283,5ad023212d0c2a2e3fc6b592,0,,,,,,,,
284,5ad00c659cf6793863612f4b,0,,,,,,,,
285,5ad0732f22defc47ea2cfb6c,0,,,,,,,,
286,5ad057760a6fa92f8889ddc2,0,,,,,,,,
287,5ad092912e6b536f0f358b27,0,,,,,,,,
288,5ad014c4450fbc6efec239b3,0,,,,,,,,
289,5ad07384b40344705721c9aa,1,,,,,,,,
290,5ad0660be1eefe489601d295,0,,,,,,,,
291,5ad03eb958f66b2e3480e9df,0,,,,,,,,
292,5ad03bcdf716a5476982f55b,0,,,,,,,,
293,5ad070b2f4edea6f0459903a,0,,,,,,,,
294,5ad0ad6158f66b2e3498d278,0,,,,,,,,
295,5ad012d8606d0c6b2d159e96,0,,,,,,,,
296,5ad0a3036b4d03488ae4610d,1,5ad0a3036b4d03488ae4610d,False,cancelled,,,,,
297,5ad0a3036b4d03488ae4610d,1,5ad0a3036b4d03488ae4610d,True,delivered,,,,,
298,5ad004fb243cbe6a8dd3ce00,0,,,,,,,,
299,5ad013d2c077bc7009656a9b,0,,,,,,,,
300,5ad0165558f66b2e34775251,0,,,,,,,,
301,5ad076fe2862a62f346b9e2d,0,,,,,,,,
302,5ad054005fabdf47f00ae6ee,0,,,,,,,,
303,5ad056582d0c2a2e3fd23413,1,,,,,,,,
304,5ad05c9c1f0ca62f3b11db05,0,,,,,,,,
305,5ad0a8bc2e6b536f0f3a62ef,0,,,,,,,,
306,5acfd5c05f3ad56a0648aa05,0,,,,,,,,
307,5ad08d4022defc47ea328023,0,,,,,,,,
308,5ad0c2492dbd85702ab3d336,0,,,,0.0,0.0,0.0,0.0,1.0
309,5ad08093b40344705724b857,0,,,,,,,,
310,5ad02d09897de547637b9361,0,,,,,,,,
311,5ad04a7fb40344705719228b,0,,,,,,,,
312,5ad09091c077bc7009815e27,0,,,,,,,,
313,5ad05065b31aaa7021b24af5,0,,,,,,,,
314,5acd6f282b68925a14fc9d82,0,,,,,,,,
315,5ad01f22c077bc7009680904,0,,,,,,,,
316,5acf88b71198a2385741fabe,0,,,,,,,,
317,5ad04d19b31aaa7021b18c0b,0,,,,,,,,
318,5ad01be7699cc62e46fb202d,0,,,,,,,,
319,5ad0494a22defc47ea23eb6b,0,,,,,,,,
320,5ad0b9a8f716a547699eddd7,0,,,,,,,,
321,5ad03307ecfb9e2e3a10270c,1,,,,,,,,
322,5ad09195b54aae483e55b6e2,0,,,,1.0,0.0,0.0,0.0,0.0
323,5ad0a971699cc62e461a521d,0,,,,,,,,
324,5ad0b80c699cc62e461dac4e,0,,,,,,,,
