,userid,y
321,5ad2d11258f66b2e34ef081f,0
322,5ad40af8bf06f46f091a331a,0
323,5ad677142df6e90d8748a73b,1
324,5ad4e4cc0ab72e2001fa5f45,0
325,5ad84069f02a222eeb3601e7,1
326,5ad60f8cd79ce5362b8d0136,0
327,5ad2d89e1f0ca62f3b7afc61,1
328,5ad6cd075d3fa40d759bd858,0
329,5ad49b814961eb22307af3de,1
330,5ad5fed49f89e5032649982a,0
331,5ad5f63630fd0234a17adb8f,0
332,5ad07a232862a62f346c581b,0
333,5ad3479be1eefe489681a078,0
334,5ada014d2ab5fa2cef67e9bf,0
335,5ad9b4b472ad682de7ae75af,0
336,5ad4db5a0ab72e2001f9d2ec,1
337,5ad75c092b0a6e3f176b22a5,1
338,5ad12b9358f66b2e34a7fa16,0
339,5ad29dd42862a62f34c2c2bd,1
340,5ad2af0bf716a54769e9fe20,0
341,5ad9d14d1cbf5f565cde8bec,0
342,5ad48d5dc23b971fc764b0ce,0
343,5ad931b8c3e6312f1650aa73,1
344,5ad06fbc64fc0b48485287d0,0
345,5ad6fa0f5d3fa40d75a71f76,0
346,5ad3658564fc0b4848d6af01,1
347,5ad1c3490a6fa92f88c88726,0
348,5acfcc4b0d39e8150ca7ca28,0
349,5ad755bfea83315078b2661b,1
350,5ad5dfab8819f1028195011d,0
351,5ad99c2b0b5c27551c22fcce,0
352,5ad33842e1eefe48967e5662,0
353,5ad1b1fe0a6fa92f88c5039a,0
354,5ad4d6334758411fda05309f,0
355,5ad400882e6b536f0fc5914d,1
356,5ad443fe7235a11a464370ba,0
357,5ad830e16eec2411b7593018,0
358,5ad06cad699cc62e460d597b,0
359,5ad68b165913f001e86ad39f,1
360,5ad59129a9db545174ef4a4b,1
361,5ad9c14deaff502dc30718c5,0
362,5ad76a83bb3a711dbb7e5699,0
363,5ad9951d9137a155ff47eeb8,1
364,5ad8a66499833e5605310628,1
365,5ad8091222a4f455a57d4b77,0
366,5ad6994ad79ce5362b9bff51,1
367,5ad09e581f0ca62f3b1ffc35,0
368,5ad926ddea15f22e1d3788f0,1
369,5ad5475eddf5d2378229c0c8,1
370,5ad0cb0864fc0b484867fce2,0
371,5ad75226dc9d40518b89cd29,0
372,5ad72ae26eabd43e424ca17b,1
373,5ad601681af2a10286bac84f,1
374,5ad9e4c78035845523f4cdac,0
375,5ad9d53feaff502dc30bab11,1
376,5ad1da322dbd85702adfcf9d,0
377,5ad3fabab31aaa70214e0364,1
378,5ad60db6afde0a35f0b8dfb4,0
379,5ad6f85c33694634ad3c6d4f,1
380,5ad04eb6450fbc6efecf547a,1
381,5ad0756d2e6b536f0f2f458e,0
382,5ad6d0e5e997750d7b2f9654,1
383,5ad1e9dd2d0c2a2e3f18ff5d,0
384,5ad2aae722defc47ea877ba8,0
385,5ad409d2bf06f46f0919ece7,0
386,5ad6a6e8e7772c02c265f6d5,0
387,5ad1ce7cbf06f46f09bc9748,0
388,5ad2805522defc47ea81ba83,0
389,5ad8860ac2639b2dd9e9f267,1
390,5ad88095b7252e2dee6b83eb,0
391,5ad7227bb5b9f21c7a9d4aff,0
392,5ad60e5c9b89de032c1f03e8,0
393,5ad4874861acf03943a66560,0
394,5ad64ee36473c702c86ff53d,0
395,5ad7f90018a1443f7404db90,1
396,5ad9f4a01cbf5f565ce789b4,0
397,5ad1ec9abf06f46f09c33a1a,0
398,5ad05b9f2862a62f3465c4e5,0
399,5ad6ad022df6e90d8754a7af,0
400,5ad93010c2639b2dd900ce20,1
401,5ad9f20899833e56056f3dae,0
402,5ad1fd0be1eefe48964a27b8,0
403,5ad949a3c3e6312f16563172,0
404,5ad6923f8819f10281b086fa,1
405,5ad006b6402a596ad57f86c0,0
406,5ad3e470d0d3372f53f19983,1
407,5ad0f9a8450fbc6efef169b5,1
408,5ad49a6fb853551fbb65064c,0
409,5ad8a026f02a222eeb4ba773,0
410,5ad0ac6558f66b2e3498956b,0
411,5ad6ccee71b9623608473c63,1
412,5ad9407ded624f2d758c0be9,1
413,5acf94c7606d0c6b2d09de5d,0
414,5ad8aef745157c2f3013a574,0
415,5ad605218819f102819f161d,0
416,5acfa126402a596ad5776cd4,1
417,5ad59a62bba0a34853ecf089,0
418,5ad9e618dc59da2dcbe92d96,1
419,5ad856f12ab5fa2cef118f77,0
420,5ad17b4ec077bc7009a4d33c,1
421,5ad1d2ed2dbd85702ade277c,0
422,5ad4d4f661acf03943b9cf86,1
423,5ad2e919d0d3372f53c9a458,0
424,5ad8c25845157c2f30189a70,1
425,5ad8313d0da87f125c6c0ea8,0
426,5ad59d48143b40516991a84e,0
427,5ad08680d0d3372f5365c1fa,0
428,5ad4175af716a547692b08eb,0
429,5ad15d3bb31aaa7021dcbc28,0
430,5ad08b9022defc47ea321c0e,0
431,5ad747129a0eb951e3ebe129,0
432,5ad85dc58035845523aa132c,1
433,5ad8156575c2747bcc5abb93,0
434,5ad126d822defc47ea48e14e,0
435,5ad5d1115913f001e84e6f1e,0
436,5ad31206c077bc7009ec6591,0
437,5ad72c6f9a0eb951e3e526b0,0
438,5ad1750df4edea6f04823169,0
439,5ad21a0f2e6b536f0f7b3388,0
440,5ad4b02da7ee6338afcf3294,1
441,5ad7bdf7d31cef1c6d7e0f38,0
442,5ad03d52897de547637f6ba9,0
443,5ad6865c5913f001e869bb48,1
444,5ad97c2e0966b92de16b3a32,0
445,5ad61890e7772c02c255a9b6,0
446,5ad4686cb3e7e21a52b7a230,0
447,5ad1ae0d450fbc6efe0b0db7,0
448,5ad3739a897de547631258a6,0
449,5ad816f7e8ab3011bd3ea6a9,1
450,5ad249c058f66b2e34df80a5,0
451,5ad1766c450fbc6efeff00b6,0
452,5ad1ba1cb40344705758ac7b,0
453,5ad763ffef2ae95065d3a954,0
454,5ad9da69fdb0032d7bcc16d0,0
455,5ad23308e1eefe489656ca72,0
456,5ad594e2143b4051698fb4e7,0
457,5ad0484ce1eefe4896fbb688,0
458,5ad9830dfffa605511c2398c,0
459,5ad8aa5e99833e5605324eb7,0
460,5ad474af39880d7dc45d0f58,0
461,5ad9e65019276a2cf4c61a64,1
462,5ad410445fabdf47f0ac59a5,0
463,5ad16cef2862a62f34912291,0
464,5ad948e1fdb0032d7ba8e4ff,0
465,5ad48cf30539bf2341a99b80,1
466,5ad367deb31aaa70213e2416,0
467,5ad6fa81587765349cd2e04c,0
468,5ad14bfc2dbd85702ac132e9,0
469,5ad2e89b64fc0b4848bb92a8,1
470,5ad56ad359a21954816e6a8c,0
471,5ad057a6897de5476384f63f,0
472,5ad9c701fdb0032d7bc75e5a,1
473,5ad9d545fdb0032d7bcace84,0
474,5ad9e2a1dc59da2dcbe84838,0
475,5ad5db8ce7772c02c2445a8b,1
476,5ad15eae2e6b536f0f52358d,0
477,5ad3243bbf06f46f09f6b05e,0
478,5ad01994e1eefe4896f0a13d,0
479,5ad9a81db7252e2deea090ea,0
480,5ad211371f0ca62f3b6074f8,0
481,5ad35225b403447057a04f26,1
482,5ad053600a6fa92f8888faf7,0
483,5ad42b66b31aaa702159e80e,1
484,5ad4926aca981438f7321e4f,0
485,5ad03b48f4edea6f044dd3a5,0
486,5ad1c7882d0c2a2e3f119d0c,0
487,5ad1d3eff716a54769caf47c,0
488,5ad94793c2639b2dd9062632,1
489,5ad07003d0d3372f5360ef85,0
490,5ad9e055fdb0032d7bcd8754,1
491,5ad72f32dc9d40518b811efb,1
492,5ad44a3659dae01b8bf8774a,0
493,5ad3e7876b4d03488a6a1ce9,1
494,5ad5be9c5d3fa40d756a9dbf,0
495,5ad17efc0a6fa92f88ba6ae9,0
496,5ad5a2950f33f8516328ffeb,0
497,5ad9b3080966b92de177bb12,1
498,5ad5fcb0877bb10eb11c04a4,0
499,5ad512c7684654222691c594,1
500,5ad6d6680393d70e9c7f7697,0
501,5ad6f081587765349cd07089,0
502,5ad9bf1599cd782e23e98018,0
503,5ad18ff42dbd85702ad071ff,1
504,5ad1fe2be1eefe48964a6d27,1
505,5ad1ba0458f66b2e34c2d601,0
506,5ad7f5033c68e0506caded94,1
507,5ad077a4b31aaa7021baaf46,0
508,5ad417a3b31aaa702155265a,0
509,5ad80b1c0da87f125c62acdd,1
510,5ad9bcb145157c2f30413e80,0
511,5ad1fc262e6b536f0f73bf14,0
512,5ad39888c077bc70090762d8,0
513,5ad358af450fbc6efe5683a2,0
514,5ad7563d452b6d3f6ff44fd2,0
515,5ad9a3441cbf5f565cd39766,1
516,5ad61fbc5913f001e863c0df,1
517,5ad960ae72ad682de79a68c8,0
518,5acfc029331a0b15f47afbc8,0
519,5ad02f41b40344705712dd98,1
520,5ad898e7fffa6055119b6d79,0
521,5ad0b35f6b4d03488ae81cdd,0
522,5ad6e7c11af2a10286e397a6,1
523,5ad6ebd62df6e90d8764ee0f,1
524,5ad06d3a2d0c2a2e3fd72427,0
525,5ad87eb2dc59da2dcba4d625,0
526,5ad609c530fd0234a1815749,0
527,5ad5a8cf1855cd6b8ad4b098,0
528,5ad28fdfc077bc7009d12bec,0
529,5ad943aa45157c2f30248219,0
530,5ad308222e6b536f0f9e4ee6,0
531,5ad6b6961af2a10286d6ceb3,0
532,5ad07318897de547638ad2ca,0
533,5ad214870a6fa92f88da72fe,0
534,5ad43b34debdd17dca224a73,0
535,5ad7f3493a912251869843af,0
536,5ad22756b31aaa7021097d9f,0
537,5ad2d899c077bc7009dfec61,0
538,5ad760453c68e0506c9c805b,1
539,5ad8acb0fffa605511a11c70,0
540,5ad091d15fabdf47f018821d,1
541,5ad330471f0ca62f3b8dd022,0
542,5ad34af4699cc62e4689bfdd,0
543,5ad0c27cc077bc70098d0089,0
544,5ad5b43ce997750d7bfaae5b,0
545,5ad41a156b4d03488a767eac,0
546,5ad210940a6fa92f88d97080,0
547,5ad025c4c077bc7009699efb,1
548,5ad57123b17d352cd0166131,1
549,5ad3f0d2b54aae483ee16f2a,0
550,5ad6f0169f89e5032675cbe9,1
551,5ad734882b0a6e3f17601ebe,0
552,5ad611ed6473c702c8696b86,0
553,5ad67c45e7772c02c25c0282,0
554,5ad4aca1ddf5d2378216b481,0
555,5ad5c45271b962360816a892,0
556,5ad8319f79ffde558df258aa,0
557,5ad48436a7ee6338afc44889,0
558,5ad9c083e9b0c05516381687,1
559,5ad358cc699cc62e468ce859,0
560,5ad697f171b9623608391d6d,1
561,5ada007a0b5c27551c3c9750,0
562,5ad34f5264fc0b4848d0e8ba,0
563,5ad43bcf8c469f79f706fbc0,0
564,5ad2b7632dbd85702aff27ea,0
565,5ad5fdab71b9623608242f9a,1
566,5ad72dfdbb3a711dbb6d60b3,1
567,5ad6147a877bb10eb12414ea,1
568,5ad3ff8b2d0c2a2e3f6d2bda,0
569,5ad833cd14fe1c5484674382,0
570,5ad38ae9bf06f46f090d67db,0
571,5ad61d231af2a10286c40281,1
572,5ad72ac30a35f31d811f79e2,1
573,5ad81159b3e93b11f6d86bce,0
574,5ad298f42dbd85702af91d1d,0
575,5ad6b9706473c702c880193e,0
576,5ad679f55d3fa40d75883035,1
577,5ad8b5bcd5b3a956162855f0,0
578,5ad8c1c18035845523c249a5,0
